,productname,prices,Color
252,"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",₹799,"Olive Green, True Wireless"
253,"Soundcore by Anker Space One, 40H ANC Playtime, LDAC Hi...","₹6,999","Black, On the Ear"
254,Portronics Conch Theta A 3.5mm Wired Earphone With HD Q...,₹499,"Black, In the Ear"
255,"JBL Tune 310C, Hi-Res Audio with DAC , 3-Button EQ , Co...","₹1,112","Black, In the Ear"
256,"Aroma NB120 Amaze Upto 50 Hrs* Playtime, Dual Pairing F...",₹261,"Acoustic Black, In the Ear"
257,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"Black, True Wireless"
258,"boAt Airdopes 313, Glide Shell, ENx Tech, 75H Battery, ...","₹1,299","Carbon Black, True Wireless"
259,"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS...","₹1,999","Crystal Black, True Wireless"
260,"Noise Airwave Max 4 with 70 Hours Playtime,ENC wiith Du...","₹2,499","Calm Beige, On the Ear"
261,TECHFIRE Fire 145- 30 Hours Playtime with superior soun...,₹248,"Blue, In the Ear"
262,"truke Mega 7 Earbuds w/ 60H Battery, 13mm Drivers, 24-b...",₹999,"Coffee brown, True Wireless"
263,Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*...,₹489,"Graphite Black, True Wireless"
264,"Noise Airwave, ENC calling, 50 Hrs of Playtime, Low lat...",₹999,"Olive Green, In the Ear"
265,"Noise Buds VS102 Plus with 70 Hrs Playtime, Environment...","₹1,499","Deep Wine, True Wireless"
266,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","Black Sabre, On the Ear"
267,"Noise TWO with 50 Hours Playtime, Low latency (up to 42...","₹1,699","Serene Blue, On the Ear"
268,"ZEBRONICS Thunder Pro, With 60h Backup, BT v5.3, Gaming...",₹899,"Black, On the Ear"
269,"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm...",₹599,"Blue, True Wireless"
270,j&b Bullets Wireless B2 Premium Neckband With 50Hrs Pla...,₹299,"Black, In the Ear"
271,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Army Green, True Wireless"
272,Apple AirPods 4 Wireless Earbuds with Active Noise Canc...,"₹16,900","White, True Wireless"
273,SpinBot HX300 Headphones with 50ms Low Latency & RGB Li...,"₹1,899","White, On the Ear"
274,"GOBOULT Z40 Pro with 100Hr, 4 Mic ENC, Scratch Proof, R...","₹1,299","Dawn, True Wireless"
275,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",₹400,"Matte Black, True Wireless"
276,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"Ivory White, True Wireless"
277,"GOBOULT Fluid X 60Hrs, 40mm Drivers, Foldable design, E...","₹1,999","White, On the Ear"
278,"boAt Airdopes Prime 413,AI-ENx Tech, 50H Battery,Multi ...","₹1,299","Green, True Wireless"
279,"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","₹1,499","Sage Green, True Wireless"
280,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹260,"Jazz Green, In the Ear"
281,"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...","₹1,299","Iris Black, On the Ear"
282,realme Buds 3 wired Wired,₹599,"Blue, In the Ear"
283,"GOBOULT Mustang Derby with 100 Hrs Battery, App Support...","₹1,499","Derby, True Wireless"
284,"Noise Buds N2 Pro (New Launch) with 70H Playtime, 32dB ...","₹1,799","Slate Black, True Wireless"
285,"CMF by Nothing Buds 2 48 dB Hybrid ANC, Ultra Bass Tech...","₹2,699","Light Green, In the Ear"
286,"TRIGGR Trinity 3 with Fabric Finish, Dual Pairing, 50H ...","₹1,499","Rustic Beige, On the Ear"
287,"Caidea TW301 Blogger Upto 40H Playtime*,ENC,Dual Pairin...",₹294,"Glass White, True Wireless"
288,HOPPUP Predator Xo1 Earbuds with 50H Bluetooth Gaming,₹699,"Black, True Wireless"
289,Aroma NB119 Pro Belief Upto 48H Playtime* Fast Charging...,₹249,"Black, In the Ear"
290,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","White Sabre, On the Ear"
291,"Caidea CNB100 Fog Upto 100 Hrs* Music,ENC,Voice Changer...",₹300,"Matte Olive Green, In the Ear"
292,MOTOROLA Moto Buds Bass |Hi-Res Audio & LDAC | 12.4mm d...,"₹1,999","Green, True Wireless"
293,Mi Type C Wired Headset with Mic Wired,₹599,"Black 2, In the Ear"
294,"boAt Rockerz 413,60H Battery,ENx, BEAST Mode, Dual Pair...","₹1,599","Ash Grey, On the Ear"
295,myxes Earbuds Bluetooth V5.1 True Wireless stereo Bluet...,₹299,"Black, In the Ear"
296,"Aroma NB120 Amaze Upto 50 Hrs* Playtime, Dual Pairing F...",₹261,"Acoustic Black, In the Ear"
297,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"Black, True Wireless"
298,"JBL Wave Beam TWS, 32Hr Playtime, IP54, Smart Ambient &...","₹2,499","White, In the Ear"
299,"Mivi Duopods K2, 40Hrs PT, HD Call, Fast Charging, 50ms...",₹699,"Brisk Blue, True Wireless"
300,"Noise Airwave Max 4 with 70 Hours Playtime,ENC wiith Du...","₹2,499","Calm Beige, On the Ear"
301,TECHFIRE Fire 145- 30 Hours Playtime with superior soun...,₹248,"Blue, In the Ear"
302,allons TWS Bluetooth Earbuds True Wireless Headphone wi...,₹250,"Black, True Wireless"
303,MZ NB111 (Wireless Headphone) Magnetic Neckband 250h st...,₹210,"Black, In the Ear"
304,"CMF by Nothing Buds 2a, 42 dB ANC, 12.4mm Driver, Dirac...","₹2,199","Light Grey, True Wireless"
305,TRIGGR Blaze 3.5mm Jack Wired Earphones with 13mm Drive...,₹129,"Midnight Blue, In the Ear"
306,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","Black Sabre, On the Ear"
307,"Noise TWO with 50 Hours Playtime, Low latency (up to 42...","₹1,699","Serene Blue, On the Ear"
308,"GOBOULT Klarity 1 with 80Hr Battery Life, Dual Pairing,...",₹799,"Black, True Wireless"
309,"Portronics Tune C Type C Earphone with mic, In-Line Con...",₹299,"Grey, In the Ear"
310,j&b Bullets Wireless B2 Premium Neckband With 50Hrs Pla...,₹299,"Black, In the Ear"
311,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Army Green, True Wireless"
312,JBL Quantum 100 Wired Gaming,"₹1,999","Black, On the Ear"
313,"Soundcore by Anker K20i,36Hr Playtime,Dual mic with AI ...",₹899,"Blue, True Wireless"
314,"boAt Rockerz 202, 20H Battery, ENx, ASAP Charge, Dual P...",₹999,"Blue, In the Ear"
315,MarQ by Flipkart Rhythm Q0824 30 Hours Playtime Type C ...,₹499,"Black, True Wireless"
316,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"Ivory White, True Wireless"
317,"GOBOULT Fluid X 60Hrs, 40mm Drivers, Foldable design, E...","₹1,999","White, On the Ear"
318,"ZEBRONICS Zeb-Sound Bomb 7, TWS, 60h Backup, BT v5.2, E...",₹749,"Blue, In the Ear"
319,"realme Buds T200x with 25dB ANC,12.4mm Dynamic Bass Dri...","₹1,599","Moonlight White, True Wireless"
320,"boAt Airdopes 161 ANC Elite,ANC, 50 H Battery,,ENx Tech...","₹1,399","Black, True Wireless"
321,"truke Mega 10 Earbuds w/ 70H Battery, 24-Bit Spatial So...","₹1,199","Jet Black, True Wireless"
322,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹699,"Blue, In the Ear"
323,"Mivi Duopods I6, 55Hrs PT, HD Call, Fast Charging, 3D S...",₹799,"Blue, True Wireless"
324,"boAt Airdopes 161/163,ASAP Charge,40 H Battery, Stream ...",₹743,"Olive Green, True Wireless"
325,JBL C150SI with One Button Universal Remote Wired Gamin...,₹699,"White, In the Ear"
326,"TRIGGR Apex S2 2025, Dual Pairing, 60H Battery, Preset ...",₹799,"Black Inferno, True Wireless"
327,F FERONS Wireless Headphone BT 5.0 Over Ear Foldable wi...,₹290,"Mid Night Black, On the Ear"
328,CMF by Nothing Buds Pro 2 with 50 dB ANC| Hi-Res + LDAC...,"₹4,299","Light Grey, In the Ear"
329,"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","₹1,499","Sporty Blue, True Wireless"
330,"GOBOULT Mustang Torq 60Hrs, App Support, 4Mic ENC, Brea...","₹1,799","Yellow, True Wireless"
331,PunnkFunnk Music Studio Gaming & Online Classes with Ot...,₹872,"Black, On the Ear"
332,"boAt Rockerz 650 Pro(2025 Launch), Touch/Swipe Controls...","₹2,838","Iris Black, On the Ear"
333,"GOBOULT Fluid X Pro ANC Calling, 70Hrs Battery Life, Fo...","₹2,299","Pro Black, On the Ear"
334,"CMF by Nothing Buds 2a, 42 dB ANC, 12.4mm Driver, Dirac...","₹2,199","Orange, True Wireless"
335,"JBL Tune Beam 2 TWS, ANC Earbuds, 48Hr Playtime,6 Mics,...","₹5,999","Black, True Wireless"
336,"Aroma NB119 Titanium Upto 48Hr Playtime*, Fast Charging...",₹499,"Olive Green, In the Ear"
337,"OPPO Enco Buds3 Pro,12.4mm Driver,54hrs Playback,Deep B...","₹1,799","Glaze White, True Wireless"
338,"boAt Airdopes 800 w/ Dolby Audio, 4 Mics AI-ENx Tech, T...","₹1,799","Interstellar White, True Wireless"
339,"boAt Nirvana Zenith Pro (2025),50dB Hybrid ANC,Spatial ...","₹2,999","Platinum Gold, True Wireless"
340,"ZEBRONICS Zeb-Pods K2, Upto 40H Backup, Dual EQ Mode,Qu...",₹899,"White, In the Ear"
341,"GOBOULT Mustang Q 70Hrs Battery, ENC Mic, 40mm Drivers,...","₹2,099","Blue, On the Ear"
342,"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",₹599,"Sky Black, In the Ear"
343,TRIGGR Blaze 3.5mm Jack Wired Earphones with 13mm Drive...,₹129,"Teal Noir, In the Ear"
344,"Noise Buds VS404 with 50 Hours Playtime, ENC with Quad ...",₹999,"Forest Green, True Wireless"
345,"Portronics Conch Sigma A in Ear 3.5mm Wired Earphones,i...",₹299,"Black, In the Ear"
346,"boAt Airdopes 800 HiDef, Hi-Res LDAC, Adv 4Mic AI-ENx, ...","₹2,299","Graphite Grey, True Wireless"
347,"Number Navo Buds X1 w/ 50H Playtime,Dual Pairing,13mm S...",₹599,"Black Moon, In the Ear"
348,"GOBOULT Z60 with 60Hr Battery, 4 Mic ENC, 50ms Ultra Lo...",₹899,"Flamingo Pink, True Wireless"
349,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Army Green, True Wireless"
350,"Portronics Harmonics Z8 Neckband with 40H Playtime,Game...",₹678,"Black, In the Ear"
351,"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...",₹799,"Shark Grey, On the Ear"
352,SpinBot BattleBudz C30 Type-C Gaming Earphones with Gam...,₹748,"Black, Red, In the Ear"
353,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Azure Blue, True Wireless"
354,"realme Buds Air 7 Pro with 53dB ANC,360 Spatial Audio, ...","₹5,499","Glory Beige, True Wireless"
355,"realme Buds Air 6 Pro with 50dB ANC, 360 Spatial Audio ...","₹4,999","Silver Blue, True Wireless"
356,"boAt Rockerz 650 Pro(2025 Launch), Touch/Swipe Controls...","₹2,799","Starry Night, On the Ear"
357,TRIGGR Blaze 3.5mm Jack Wired Earphones with 13mm Drive...,₹129,"Lava Orange, In the Ear"
358,"PHILIPS Wired Earphones with C-Type Audio Jack, 10mm Dy...",₹374,"Black, In the Ear"
359,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","₹1,199","Pearl White, True Wireless"
360,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹260,"Jazz Green, In the Ear"
361,"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...","₹1,299","Iris Black, On the Ear"
362,TRIGGR Blaze 3.5mm Jack Wired Earphones with 13mm Drive...,₹129,"Lava Orange, In the Ear"
363,OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,"₹1,599","Midnight, True Wireless"
364,"realme Buds Air 7 Pro with 53dB ANC,360 Spatial Audio, ...","₹5,499","Glory Beige, True Wireless"
365,"OnePlus Buds 3 TWS, in Ear Earbuds with Sliding Volume ...","₹4,699","Minty Green, True Wireless"
366,"TRIGGR Trinity 3 with Fabric Finish, Dual Pairing, 50H ...","₹1,499","Rustic Beige, On the Ear"
367,Caidea TWS7 Sufi V5.4 Upto 30Hrs Playtime* Type C Fast ...,₹299,"Vibrant Black, True Wireless"
368,"boAt Airdopes 301,75H Battery, 4Mics ENx, ASAP Charge, ...","₹1,299","Midnight Shadow, True Wireless"
369,"GOBOULT Mustang Torq 60Hrs, App Support, 4Mic ENC, Brea...","₹1,799","Torq, True Wireless"
370,"Caidea TW301 Blogger Upto 40H Playtime*,ENC,Dual Pairin...",₹294,"Glass White, True Wireless"
371,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","White Sabre, On the Ear"
372,BULLSTORM BS ultrapood Bluetooth Gaming,₹279,"Glossy Black, True Wireless"
373,"boAt Rockerz 255 Pro+, 60H Battery, ASAP Charge, Stream...","₹1,299","Active Black, In the Ear"
374,"boAt Rockerz 650 Pro(2025 Launch), Touch/Swipe Controls...","₹2,799","Starry Night, On the Ear"
375,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","₹1,199","Pearl White, True Wireless"
376,"Caidea CNB100 Fog Upto 100 Hrs* Music,ENC,Voice Changer...",₹300,"Matte Olive Green, In the Ear"
377,"Aroma NB120 Amaze Upto 50 Hrs* Playtime, Dual Pairing F...",₹261,"Acoustic Black, In the Ear"
378,"PHILIPS Wired Earphones with C-Type Audio Jack, 10mm Dy...",₹374,"Black, In the Ear"
379,"JBL Live Pro 2, Active Adaptive Noise Cancellation, 40H...","₹6,999","Black, True Wireless"
380,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"Black, True Wireless"
381,"Noise Airwave Max 4 with 70 Hours Playtime,ENC wiith Du...","₹2,499","Calm Beige, On the Ear"
382,"truke BTG Ultra with 60H Playtime, 360Spatial, Low Late...",₹899,"MintMist, True Wireless"
383,"Aroma NB119 TItanium Pro Upto 100 Hr Playtime*,ENC,Fast...",₹499,"Vibrant Green, In the Ear"
384,"Mivi DuoPods Blaze [New launch], AI-ENC, 60 Hrs, 13mm D...",₹999,"Silk White, True Wireless"
385,"GOBOULT W10 55H Battery, 4 Mic ENC, Spatial Audio, Low ...",₹799,"Coral White, True Wireless"
386,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","Black Sabre, On the Ear"
387,"Noise TWO with 50 Hours Playtime, Low latency (up to 42...","₹1,699","Serene Blue, On the Ear"
388,"Noise Buds Verve 2 with 50Hr Playtime, ENC, Quad Mic & ...","₹1,499","Carbon Black, True Wireless"
389,"TRIGGR Apex S2 with Dual Pairing, 60H Battery, Quad Mic...",₹799,"Onyx Lilac, True Wireless"
390,TECHFIRE Fire 145- 30 Hours Playtime with superior soun...,₹248,"Blue, In the Ear"
391,j&b Bullets Wireless B2 Premium Neckband With 50Hrs Pla...,₹299,"Black, In the Ear"
392,"Aroma NB119 Zebra Upto 100H Playtime, ENC, Magnetic On/...",₹389,"Chrome Green, In the Ear"
393,vivo TWS 3e buds up-to 30dB Active Noise Cancellation |...,"₹1,899","Bright White, True Wireless"
394,"boAt Rockerz 425,25H Battery, BEAST Mode,ENx,Dual Pair,...","₹1,399","Active Black, On the Ear"
395,"ZEBRONICS Zeb-Buds 50C, Type-C, In-Line Mic, 14mm Drive...",₹299,"Black, In the Ear"
396,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Army Green, True Wireless"
397,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"Ivory White, True Wireless"
398,"Portronics Harmonics Twins S18 in Ear TWS Earbud,30H Pl...",₹699,"Black, In the Ear"
399,truke Crystal Dyno Leather Finish earbuds w/ Spatial Au...,₹899,"Oak Brown, True Wireless"
400,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹260,"Jazz Green, In the Ear"
401,"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...","₹1,299","Iris Black, On the Ear"
402,"PTron Studio w/ 60hrs Playtime, HD Mic, 40mm Drivers, D...",₹699,"Jet Black, On the Ear"
403,"Aroma NB119 Titanium Pro Upto 100 Hr Playtime*,ENC,Fast...",₹499,"Chrome Blue, In the Ear"
404,"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",₹699,"Indigo Honey, In the Ear"
405,"Aroma NB120 Banner Upto 40H Playtime*, ENC, Fast Chargi...",₹229,"Metal Black, In the Ear"
406,Caidea TWS7 Sufi V5.4 Upto 30Hrs Playtime* Type C Fast ...,₹299,"Vibrant Black, True Wireless"
407,"TRIGGR Trinity 3 with Fabric Finish, Dual Pairing, 50H ...","₹1,499","Rustic Beige, On the Ear"
408,PROWARP Original EHS61 Deep Bass with Sound Cancellatio...,₹211,"White, In the Ear"
409,"Noise Buds Verve 2 with 50Hr Playtime, ENC, Quad Mic & ...","₹1,499","Forest Green, True Wireless"
410,"Caidea TW301 Blogger Upto 40H Playtime*,ENC,Dual Pairin...",₹294,"Glass White, True Wireless"
411,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","White Sabre, On the Ear"
412,"GOBOULT W10 55H Battery, 4 Mic ENC, Spatial Audio, Low ...",₹799,"Jet Black, True Wireless"
413,"Mivi Duopods K2, 40Hrs PT, HD Call, Fast Charging, 50ms...",₹699,"Ivory, True Wireless"
414,PunnkFunnk PRO VERSION STYLIST WITH MICROPHONE Wired Ga...,₹878,"Black, On the Ear"
415,Nothing Headphone(1) 42dB ANC| Dual Device| Hi-Res+LDAC...,"₹21,999","Black, On the Ear"
416,"Caidea CNB100 Fog Upto 100 Hrs* Music,ENC,Voice Changer...",₹300,"Matte Olive Green, In the Ear"
417,"Aroma NB120 Amaze Upto 50 Hrs* Playtime, Dual Pairing F...",₹261,"Acoustic Black, In the Ear"
418,OnePlus Nord Wired Earphones Wired,₹799,"Black, In the Ear"
419,"ZEBRONICS Zeb- Thunder, With 60H Backup, BT v5.3, Gamin...",₹799,"Blue, On the Ear"
420,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"Black, True Wireless"
421,"Noise Airwave Max 4 with 70 Hours Playtime,ENC wiith Du...","₹2,499","Calm Beige, On the Ear"
422,"TRIGGR Rizz with 40H Playback, Spherical Design, 13mm D...",₹699,"Jungle Green, In the Ear"
423,"boAt Rockerz Prime 205,Spatial Audio,50H Battery,ENx,St...","₹1,299","Onyx Black, In the Ear"
424,"boAt Rockerz Prime 205,Spatial Audio,50H Battery,ENx,St...","₹1,299","Fern Green, In the Ear"
425,"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",₹599,"Cobalt Mariner, In the Ear"
426,TECHFIRE Fire 145- 30 Hours Playtime with superior soun...,₹248,"Blue, In the Ear"
427,j&b Bullets Wireless B2 Premium Neckband With 50Hrs Pla...,₹299,"Black, In the Ear"
428,Mi Type C Wired Headset with Mic Wired,₹599,"White, In the Ear"
429,"SONY New WF-C510 TWS Light Weight, Compact In-Ear Earbu...","₹4,990","Black, True Wireless"
430,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","Black Sabre, On the Ear"
431,"Noise TWO with 50 Hours Playtime, Low latency (up to 42...","₹1,699","Serene Blue, On the Ear"
432,"GOBOULT W45 with 50Hrs Battery Life, 4 Mic ENC, Ultra L...",₹899,"Black, True Wireless"
433,"boAt Rockerz 512 ANC, 40dB Hybrid ANC, 80H Battery, ENx...","₹2,999","Bold Blue, On the Ear"
434,"Soundcore by Anker R50i Vi, 30Hr Playtime, Deep Bass, 2...",₹996,"Blue, True Wireless"
435,boAt Nirvana Ion with 120 Hours Playback & Crystal Bion...,"₹1,799","Ivory White, True Wireless"
436,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Army Green, True Wireless"
437,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"Ivory White, True Wireless"
438,"GOBOULT X1-Wired with Dual Drivers, Rich Bass, In line ...",₹349,"Red, In the Ear"
439,OnePlus Nord Buds 2 Earbuds with 25dB Active Noise Canc...,"₹3,098","Thunder Gray, True Wireless"
440,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹260,"Jazz Green, In the Ear"
441,"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...","₹1,299","Iris Black, On the Ear"
442,"Mivi Duopods K2, 40Hrs PT, HD Call, Fast Charging, 50ms...",₹699,"Mint Green, True Wireless"
443,"GOBOULT Z60 with 60Hr Battery, 4 Mic ENC, 50ms Ultra Lo...",₹899,"Spring Green, True Wireless"
444,"Noise Pop buds with 50 Hrs of playtime, Quad Mic with E...","₹1,099","Steel Pop, True Wireless"
445,SONY 310AP Wired,₹999,"Red, On the Ear"
446,"TRIGGR Trinity 3 with Fabric Finish, Dual Pairing, 50H ...","₹1,499","Rustic Beige, On the Ear"
447,"Caidea TW301 Blogger Upto 40H Playtime*,ENC,Dual Pairin...",₹294,"Glass White, True Wireless"
448,"PTron Studio Pro w/ 65hrs Playtime, AI-ENC Calls, Prist...",₹699,"Blue, On the Ear"
449,"ZEBRONICS Zeb-Buds C10, with In-Line Mic, Type-C, 10mm ...",₹299,"Black, In the Ear"
450,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","White Sabre, On the Ear"
451,"Caidea CNB100 Fog Upto 100 Hrs* Music,ENC,Voice Changer...",₹300,"Matte Olive Green, In the Ear"
452,"GOBOULT W45 with 50Hrs Battery Life, 4 Mic ENC, Ultra L...",₹899,"White, True Wireless"
453,TECHFIRE Fire 145- 30 Hours Playtime with superior soun...,₹248,"Blue, In the Ear"
454,"realme Buds T01 with 13mm Driver, AI ENC for Calls, BT ...","₹1,299","Black, True Wireless"
455,"Noise Buds VS102 Elite with 50Hr Playtime, ENC, Quad Mi...",₹899,"Forest Green, True Wireless"
456,"Aroma NB120 Amaze Upto 50 Hrs* Playtime, Dual Pairing F...",₹261,"Acoustic Black, In the Ear"
457,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"Black, True Wireless"
458,"Soundcore by Anker H30i, 70 Hrs Playtime, Pure Bass, Fo...","₹1,898","White, On the Ear"
459,"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...","₹1,299","Blue, In the Ear"
460,"Noise Airwave Max 4 with 70 Hours Playtime,ENC wiith Du...","₹2,499","Calm Beige, On the Ear"
461,j&b Bullets Wireless B2 Premium Neckband With 50Hrs Pla...,₹299,"Black, In the Ear"
462,"Aroma NB119 Zebra Upto 100H Playtime, ENC, Magnetic On/...",₹379,"Metallic Olive Green, In the Ear"
463,"REDMI Buds 5C with 40dB Hybrid ANC, Quad-Mic AI Calling...","₹1,799","Acoustic Black, True Wireless"
464,CARRON MAGNETIC OFF/ON Neckband (GR1) Bluetooth,₹290,"Green, In the Ear"
465,"PTron Bassbuds Rogue w/ 40ms Game Mode, 50Hrs Playtime,...",₹699,"Black, True Wireless"
466,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","Black Sabre, On the Ear"
467,"Noise TWO with 50 Hours Playtime, Low latency (up to 42...","₹1,699","Serene Blue, On the Ear"
468,TECHBROS New Edition TWS M19 PRO with Power Bank Upto 4...,₹279,"Black, In the Ear"
469,"ZEBRONICS Zeb-Jet� Premium Headphone,LED Headband,Suspe...",₹799,"Black + Blue, On the Ear"
470,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Army Green, True Wireless"
471,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"Ivory White, True Wireless"
472,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",₹399,"Matte Blue, True Wireless"
473,"OnePlus Nord Buds 3r TWS Earbud, 10min charge for 8hr M...","₹1,799","Aura Blue, True Wireless"
474,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",₹599,"Teal Noir, In the Ear"
475,"ZEBRONICS Zeb-Jet Pro Premium Headphone,LED Headband,Su...",₹899,"Black+Blue, On the Ear"
476,Aroma NB119 Titanium - 48 Hours Playtime Neckband Bluet...,₹499,"Green, In the Ear"
477,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹300,"Booming Red, In the Ear"
478,"Noise Buds Verve 2 with 50Hr Playtime, ENC, Quad Mic & ...","₹1,499","Carbon Black, True Wireless"
479,"GOBOULT Fluid X 60Hrs, 40mm Drivers, Foldable design, E...","₹1,999","White, On the Ear"
480,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹260,"Jazz Green, In the Ear"
481,"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...","₹1,299","Iris Black, On the Ear"
482,"Noise Buds N1 Pro with Metallic Finish, 30dB ANC, 60H P...","₹1,599","Chrome Black, True Wireless"
483,"boAt Airdopes 131 Elite ANC, (~32dB) ANC,60H Battery, S...","₹1,499","Black, True Wireless"
484,truke Crystal Dyno Leather Finish earbuds w/ Spatial Au...,₹899,"Arctic Blue, True Wireless"
485,"ZEBRONICS Zeb- Thunder, With 60H Backup, BT v5.3, Gamin...",₹799,"Neon Yellow, On the Ear"
486,"TRIGGR Trinity 3 with Fabric Finish, Dual Pairing, 50H ...","₹1,499","Rustic Beige, On the Ear"
487,"Caidea TW301 Blogger Upto 40H Playtime*,ENC,Dual Pairin...",₹294,"Glass White, True Wireless"
488,"Noise Buds E1 (New Launch) 35H Playtime, Quad mic ENC, ...","₹1,099","Charcoal Black, True Wireless"
489,"Noise Airwave Max 4 with 70 Hours Playtime,ENC wiith Du...","₹2,499","Calm Beige, On the Ear"
490,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","White Sabre, On the Ear"
491,"Caidea CNB100 Fog Upto 100 Hrs* Music,ENC,Voice Changer...",₹300,"Matte Olive Green, In the Ear"
492,Caidea TW101 Earth 32dB Active Noise Cancellation 60H* ...,₹599,"Thunder Blue, True Wireless"
493,"truke Buds Liberty OWS with 360SpatialAudio, 60H Playti...","₹1,599","OnyxBlack, True Wireless"
494,"Soundcore by Anker R50i NC,45Hr Playtime,4 mics with 42...","₹1,699","Black, True Wireless"
495,"truke Airbuds Lite with Quad Mic ENC, 48Hrs Battery, Ga...",₹699,"Black, True Wireless"
496,"Aroma NB120 Amaze Upto 50 Hrs* Playtime, Dual Pairing F...",₹261,"Acoustic Black, In the Ear"
497,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"Black, True Wireless"
498,GWALBROS Earbuds M19 PRO with Power Bank Upto 48Hrs Pla...,₹288,"Black, In the Ear"
499,"truke ResonanceX OWS w/ 70H Playtime, 24-bit Spatial Au...","₹1,699","Ash Black, In the Ear"
500,"Noise TWO with 50 Hours Playtime, Low latency (up to 42...","₹1,699","Serene Blue, On the Ear"
501,TECHFIRE Fire 145- 30 Hours Playtime with superior soun...,₹248,"Blue, In the Ear"
